"Series","Indicator.Name","value"
"SE.PRM.PEDG.1.M","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Male",NA
"SE.PRM.PEDG.1.R","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Rural","12.25765"
"SE.PRM.PEDG.1.U","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Urban","20.83386"
"SE.PRM.PEDG.2","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score)","50.42204"
"SE.PRM.PEDG.2.F","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Female",NA
"SE.PRM.PEDG.2.M","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Male",NA
"SE.PRM.PEDG.2.R","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Rural","50.05441"
"SE.PRM.PEDG.2.U","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Urban","50.6889"
"SE.PRM.PEDG.3","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score)","35.75495"
"SE.PRM.PEDG.3.F","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Female",NA
"SE.PRM.PEDG.3.M","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Male",NA
"SE.PRM.PEDG.3.R","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Rural","23.08157"
"SE.PRM.PEDG.3.U","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Urban","37.95847"
"SE.PRM.PEDG.4","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score)","7.186067"
"SE.PRM.PEDG.4.F","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Female",NA
"SE.PRM.PEDG.4.M","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Male",NA
"SE.PRM.PEDG.4.R","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Rural","7.559222"
"SE.PRM.PEDG.4.U","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Urban","7.276974"
"SE.PRM.PKNW","Principal School Knowledge","3.279824"
"SE.PRM.PKNW.1","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school","3.279824"
"SE.PRM.PKNW.1.F","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Female","3.059052"
"SE.PRM.PKNW.1.M","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Male","3.28674"
"SE.PRM.PKNW.1.R","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Rural","3.320652"
"SE.PRM.PKNW.1.U","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Urban","3.273655"
"SE.PRM.PKNW.2","(De Facto) Percent of principals familiar with teachers' content knowledge","58.3453"
"SE.PRM.PKNW.2.F","(De Facto) Percent of principals familiar with teachers' content knowledge - Female","47.50212"
"SE.PRM.PKNW.2.M","(De Facto) Percent of principals familiar with teachers' content knowledge - Male","58.92117"
"SE.PRM.PKNW.2.R","(De Facto) Percent of principals familiar with teachers' content knowledge - Rural","63.54723"
"SE.PRM.PKNW.2.U","(De Facto) Percent of principals familiar with teachers' content knowledge - Urban","57.60287"
"SE.PRM.PKNW.3","(De Facto) Percent of principals familiar with teachers' experience","99.8091"
"SE.PRM.PKNW.3.F","(De Facto) Percent of principals familiar with teachers' experience - Female","100"
"SE.PRM.PKNW.3.M","(De Facto) Percent of principals familiar with teachers' experience - Male","99.79708"
"SE.PRM.PKNW.3.R","(De Facto) Percent of principals familiar with teachers' experience - Rural","98.50803"
"SE.PRM.PKNW.3.U","(De Facto) Percent of principals familiar with teachers' experience - Urban","100"
"SE.PRM.PKNW.4","(De Facto) Percent of principals familiar with availability of classroom inputs","75.3259"
"SE.PRM.PKNW.4.F","(De Facto) Percent of principals familiar with availability of classroom inputs - Female","81.69941"
"SE.PRM.PKNW.4.M","(De Facto) Percent of principals familiar with availability of classroom inputs - Male","74.91869"
"SE.PRM.PKNW.4.R","(De Facto) Percent of principals familiar with availability of classroom inputs - Rural","68.53374"
"SE.PRM.PKNW.4.U","(De Facto) Percent of principals familiar with availability of classroom inputs - Urban","76.323"
"SE.PRM.PMAN","Principal Management Skills","4.117662"
"SE.PRM.PMAN.1","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term","4.117662"
"SE.PRM.PMAN.1.F","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Female","4.439498"
"SE.PRM.PMAN.1.M","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Male","4.097397"
"SE.PRM.PMAN.1.R","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Rural","4.080907"
"SE.PRM.PMAN.1.U","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Urban","4.123054"
"SE.PRM.PMAN.2","(De Facto) Average score for the extent to which principals master problem-solving in the short-term","4.487371"
"SE.PRM.PMAN.2.F","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Female","4.654366"
"SE.PRM.PMAN.2.M","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Male","4.476856"
"SE.PRM.PMAN.2.R","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Rural","4.415414"
"SE.PRM.PMAN.2.U","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Urban","4.497928"
"SE.PRM.PMAN.3","(De Facto) Average score for the extent to which principals master goal-setting in the long term","3.747953"
"SE.PRM.PMAN.3.F","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Female","4.224629"
"SE.PRM.PMAN.3.M","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Male","3.717938"
"SE.PRM.PMAN.3.R","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Rural","3.746399"
"SE.PRM.PMAN.3.U","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Urban","3.748181"
"SE.PRM.PROE","Proficiency by Grade 2/3","-999"
"SE.PRM.PROE.1","(De Facto) Percent of children proficient in literacy and numeracy by grade 2/3, as reported by UIS","-999"
"SE.PRM.SATT","Policy Lever (School Management) - Attraction","4.57821"
"SE.PRM.SATT.1","(De Jure) Do the national policies governing the education system portray the position of principal or head teacher as professionalized and distinct figure within schools?","1"
"SE.PRM.SATT.2","(De Facto) Average principal salary as percent of GDP per capita","2.344383"
"SE.PRM.SATT.3","(De Facto) Percent of principals reporting being satisfied or very satisfied with their social status in the community","4.181686"
"SE.PRM.SATT.DF","(De Facto) Policy Lever (School Management) - Attraction","4.57821"
"SE.PRM.SATT.DJ","(De Jure) Policy Lever (School Management) - Attraction","5"
"SE.PRM.SCFN","Policy Lever (School Management) - Clarity of Functions","4.930861"
"SE.PRM.SCFN.1","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the maintenance and expansion of school infrastructure?","99.67027"
"SE.PRM.SCFN.10","(De Jure) Do the policies governing schools assign the responsibility of student learning assessments?","1"
"SE.PRM.SCFN.11","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal hiring and assignment?","100"
"SE.PRM.SCFN.12","(De Jure) Do the policies governing schools assign the responsibility of principal hiring and assignment?","1"
"SE.PRM.SCFN.13","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal supervision and training?","99.63816"
"SE.PRM.SCFN.14","(De Jure) Do the policies governing schools assign the responsibility of principal supervision and training?","1"
"SE.PRM.SCFN.2","(De Jure) Do the policies governing schools assign the responsibility of maintenance and expansion of school infrastructure?","1"
"SE.PRM.SCFN.3","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the procurement of materials?","87.69555"
"SE.PRM.SCFN.4","(De Jure) Do the policies governing schools assign the responsibility of procurement of materials?","1"
"SE.PRM.SCFN.5","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher hiring and assignment?","99.72276"
"SE.PRM.SCFN.6","(De Jure) Do the policies governing schools assign the responsibility of teacher hiring and assignment?","1"
"SE.PRM.SCFN.7","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher supervision, training, and coaching?","100"
"SE.PRM.SCFN.8","(De Jure) Do the policies governing schools assign the responsibility of teacher supervision, training, and coaching?","1"
"SE.PRM.SCFN.9","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of student learning assessments?","99.72276"
"SE.PRM.SCFN.DF","(De Facto) Policy Lever (School Management) - Clarity of Functions","4.930861"
"SE.PRM.SCFN.DJ","(De Jure) Policy Lever (School Management) - Clarity of Functions","5"
"SE.PRM.SEVL","Policy Lever (School Management) - Evaluation","4.5874"
"SE.PRM.SEVL.1","(De Jure) Is there a policy that specifies the need to monitor principal or head teacher performance?","1"
"SE.PRM.SEVL.2","(De Jure) Is the criteria to evaluate principals clear and includes multiple factors?","3"
"SE.PRM.SEVL.3","(De Facto) Percent of principals that report having been evaluated  during the last school year","89.39638"
"SE.PRM.SEVL.4","(De Facto) Percent of principals that report having been evaluated on multiple factors","98.38894"
"SE.PRM.SEVL.5","(De Facto) Percent of principals that report there would be consequences after two negative evaluations","41.51808"
"SE.PRM.SEVL.6","(De Facto) Percent of principals that report there would be consequences after two positive evaluations","37.498"
"SE.PRM.SEVL.DF","(De Facto) Policy Lever (School Management) - Evaluation","4.5874"
"SE.PRM.SEVL.DJ","(De Jure) Policy Lever (School Management) - Evaluation","5"
"SE.PRM.SSLD","Policy Lever (School Management) - Selection & Deployment","4.48281"
"SE.PRM.SSLD.1","(De Jure) Is there a systematic approach/rubric for the selection of principals?","1"
"SE.PRM.SSLD.10","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is years of experience","34.9034"
"SE.PRM.SSLD.11","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is quality of teaching","22.83572"
"SE.PRM.SSLD.12","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is demonstrated management qualities","35.37609"
"SE.PRM.SSLD.13","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is having a good relationship with the owner of the school","0"
"SE.PRM.SSLD.14","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is political affiliations","3.186693"
"SE.PRM.SSLD.15","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is ethnic group","0"
"SE.PRM.SSLD.16","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is knowledge of the local community","1.163392"
"SE.PRM.SSLD.2","(De Jure) How are the principals selected? Based on the requirements, is the selection system meritocratic?","4"
"SE.PRM.SSLD.3","(De Facto) Percent of principals that report that the factors considered when selecting a principal include years of experience","95.44621"
"SE.PRM.SSLD.4","(De Facto)  Percent of principals that report that the factors considered when selecting a principal include quality of teaching","73.09612"
"SE.PRM.SSLD.5","(De Facto) Percent of principals that report that the factors considered when selecting a principal include demonstrated management qualities","90.92074"
"SE.PRM.SSLD.6","(De Facto) Percent of principals that report that the factors considered when selecting a principal include good relationship with the owner of the school","22.57653"
"SE.PRM.SSLD.7","(De Facto) Percent of principals that report that the factors considered when selecting a principal include political affiliations","17.08864"
"SE.PRM.SSLD.8","(De Facto) Percent of principals that report that the factors considered when selecting a principal include ethnic group","-999"
"SE.PRM.SSLD.9","(De Facto) Percent of principals that report that the factors considered when selecting a principal include knowledge of the local community","62.10794"
"SE.PRM.SSLD.DF","(De Facto) Policy Lever (School Management) - Selection & Deployment","4.48281"
"SE.PRM.SSLD.DJ","(De Jure) Policy Lever (School Management) - Selection & Deployment","4.4"
"SE.PRM.SSUP","Policy Lever (School Management) - Support","2.758312"
"SE.PRM.SSUP.1","(De Jure) Are principals required to have training on how to manage a school?","1"
"SE.PRM.SSUP.10","(De Facto) Percent of principals that report having used the skills they gained at the last training they attended","98.35687"
"SE.PRM.SSUP.11","(De Facto) Average number of trainings that principals report having been offered to them in the past year","2.028766"
"SE.PRM.SSUP.2","(De Jure) Are principals required to have management training for new principals?","1"
"SE.PRM.SSUP.3","(De Jure) Are principals required to have in-service training?","1"
"SE.PRM.SSUP.4","(De Jure) Are principals required to have mentoring/coaching by experienced principals?","0"
"SE.PRM.SSUP.5","(De Jure) How many times per year do principals have trainings?","1"
"SE.PRM.SSUP.6","(De Facto) Percent of principals that report ever having received formal training","59.91047"
"SE.PRM.SSUP.7","(De Facto) Percent of principals that report having received management training for new principals","42.39392"
"SE.PRM.SSUP.8","(De Facto) Percent of principals that report having received in-service training","60.23834"
"SE.PRM.SSUP.9","(De Facto) Percent of principals that report having received mentoring/coaching by experienced principals","19.88949"
"SE.PRM.SSUP.DF","(De Facto) Policy Lever (School Management) - Support","2.758312"
"SE.PRM.SSUP.DJ","(De Jure) Policy Lever (School Management) - Support","4.333333"
"SE.PRM.TATT","Policy Lever (Teaching) - Attraction","3.462159"
"SE.PRM.TATT.1","(De Jure) Average starting public-school teacher salary as percent of GDP per capita","128.3722"
"SE.PRM.TATT.2","(De Facto) Percent of teachers reporting being satisfied or very satisfied with their social status in the community","84.54484"
"SE.PRM.TATT.3","(De Facto) Percent of teachers reporting being satisfied or very satisfied with their job as teacher","80.79565"
"SE.PRM.TATT.4","(De Facto) Percent of teachers reporting having received financial bonuses in addition to their salaries","1.418319"
"SE.PRM.TATT.5","(De Facto) Percent of teachers reporting that there are incentives (financial or otherwise) for teachers to teach certain subjects/grades and/or in certain areas","0.0186053"
"SE.PRM.TATT.6","(De Facto) Percent of teachers that performance matters for promotions","48.56544"
"SE.PRM.TATT.7","(De Jure) Is there a well-established career path for teachers?","-999"
"SE.PRM.TATT.8","(De Facto) Percent of teachers that report salary delays in the past 12 months","73.4276"
"SE.PRM.TATT.DF","(De Facto) Policy Lever (Teaching) - Attraction","3.462159"
"SE.PRM.TATT.DJ","(De Jure) Policy Lever (Teaching) - Attraction","5"
"SE.PRM.TENR","Net Adjusted Enrollment Rate","85.19824"
"SE.PRM.TENR.1","(De Facto) Percent of primary school age children who are enrolled at primary education","85.19824"
"SE.PRM.TEVL","Policy Lever (Teaching) - Evaluation","4.315581"
"SE.PRM.TEVL.1","(De Jure) Legislation assigns responsibility of evaluating the performance of teachers to a public authority (national, regional, local)","0"
"SE.PRM.TEVL.2","(De Jure) Legislation assigns responsibility of evaluating the performance of teachers to the schools","0"
"SE.PRM.TEVL.3","(De Facto) Percent of teachers that report being evaluated in the past 12 months","83.6482"
"SE.PRM.TEVL.4","(De Jure) The criteria to evaluate teachers is clear","0.8"
"SE.PRM.TEVL.5","(De Facto) Number of criteria used to evaluate teachers","4.616804"
"SE.PRM.TEVL.6","(De Facto) Percent of teachers that report there would be consequences after two negative evaluations","97.10908"
"SE.PRM.TEVL.7","(De Facto) Percent of teachers that report there would be consequences after two positive evaluations","95.25027"
"SE.PRM.TEVL.8","(De Jure) There are clear consequences for teachers who receive two or more negative evaluations","1"
"SE.PRM.TEVL.9","(De Jure) There are clear consequences for teachers who receive two or more positive evaluations","0"
"SE.PRM.TEVL.DF","(De Facto) Policy Lever (Teaching) - Evaluation","4.315581"
"SE.PRM.TEVL.DJ","(De Jure) Policy Lever (Teaching) - Evaluation","2.4"
"SE.PRM.TINM","Policy Lever (Teaching) - Intrinsic Motivation","3.518343"
"SE.PRM.TINM.1","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if the assigned curriculum has been completed""","8.939925"
"SE.PRM.TINM.10","(De Facto) Percent of teachers that agree or strongly agrees with ""Students can change even their basic intelligence level considerably""","80.78049"
"SE.PRM.TINM.11","(De Facto) Percent of teachers who state that intrinsic motivation was the main reason to become teachers","0.6575179"
"SE.PRM.TINM.12","(De Facto) New teachers are required to undergo a probationary period","0.4568331"
"SE.PRM.TINM.13","(De Jure) New teachers are required to undergo a probationary period","1"
"SE.PRM.TINM.2","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if students are left with work to do""","1.716186"
"SE.PRM.TINM.3","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if the teacher is doing something useful for the community""","10.87295"
"SE.PRM.TINM.4","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they attend school regularly""","67.5945"
"SE.PRM.TINM.5","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they come to school with materials""","75.58519"
"SE.PRM.TINM.6","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they are motivated to learn""","70.47469"
"SE.PRM.TINM.7","(De Facto) Percent of teachers that agree or strongly agrees with ""Students have a certain amount of intelligence and they really can’t do much to change it""","20.05934"
"SE.PRM.TINM.8","(De Facto) Percent of teachers that agree or strongly agrees with ""To be honest, students can’t really change how intelligent they are""","28.93026"
"SE.PRM.TINM.9","(De Facto) Percent of teachers that agree or strongly agrees with ""Students can always substantially change how intelligent they are""","80.6841"
"SE.PRM.TINM.DF","(De Facto) Policy Lever (Teaching) - Intrinsic Motivation","3.518343"
"SE.PRM.TINM.DJ","(De Jure) Policy Lever (Teaching) - Intrinsic Motivation","5"
"SE.PRM.TMNA","Policy Lever (Teaching) - Monitoring & Accountability","2.975803"
"SE.PRM.TMNA.1","(De Jure) Information on teacher presence/absenteeism is being collected on a regular basis","0"
"SE.PRM.TMNA.2","(De Jure) Teachers receive monetary compensation for being present","0"
"SE.PRM.TMNA.3","(De Facto) Teacher report receiving monetary compensation (aside from salary) for being present","0.4779082"
"SE.PRM.TMNA.4","(De Facto) Percent of teachers that report having been absent because of administrative processes","36.71438"
"SE.PRM.TMNA.5","(De Facto) Percent of teachers that report that there would be consequences for being absent 40% of the time","79.36274"
"SE.PRM.TMNA.DF","(De Facto) Policy Lever (Teaching) - Monitoring & Accountability","2.975803"
"SE.PRM.TMNA.DJ","(De Jure) Policy Lever (Teaching) - Monitoring & Accountability","1"
"SE.PRM.TSDP","Policy Lever (Teaching) - Selection & Deployment","4.156783"
"SE.PRM.TSDP.1","(De Jure) Requirements to enter into initial education programs","3"
"SE.PRM.TSDP.2","(De Facto) Average quality of applicants accepted into initial education programs","-999"
"SE.PRM.TSDP.3","(De Jure) Requirements to become a primary school teacher","2"
"SE.PRM.TSDP.4","(De Facto) Requirements to become a primary school teacher","1.691817"
"SE.PRM.TSDP.5","(De Jure) Requirements to fulfill a transfer request","3"
"SE.PRM.TSDP.6","(De Facto) Requirements to fulfill a transfer request","1.464966"
"SE.PRM.TSDP.7","(De Jure) Selectivity of teacher hiring process","-999"
"SE.PRM.TSDP.DF","(De Facto) Policy Lever (Teaching) - Selection & Deployment","4.156783"
"SE.PRM.TSDP.DJ","(De Jure) Policy Lever (Teaching) - Selection & Deployment","2.666667"
"SE.PRM.TSUP","Policy Lever (Teaching) - Support","2.845374"
"SE.PRM.TSUP.1","(De Jure) Practicum required as part of pre-service training","1"
"SE.PRM.TSUP.2","(De Facto) Percent reporting they completed a practicum as part of pre-service training","34.64161"
"SE.PRM.TSUP.3","(De Facto) Percent of teachers reporting that they participated in an induction and/or mentorship program","66.29016"
"SE.PRM.TSUP.4","(De Jure) Participation in professional development has professional implications for teachers","1"
"SE.PRM.TSUP.5","(De Facto) Percent of teachers reporting having attended in-service trainings in the past 12 months","36.15021"
"SE.PRM.TSUP.6","(De Facto) Average length of the trainings attended","8.397448"
"SE.PRM.TSUP.7","(De Facto) Average span of time (in weeks) of those trainings","2.252429"
"SE.PRM.TSUP.8","(De Facto) Average percent of time spent inside the classrooms during the trainings","36.09315"
"SE.PRM.TSUP.9","(De Facto) Percent of teachers that report having opportunities to come together with other teachers to discuss ways of improving teaching","66.80219"
"SE.PRM.TSUP.DF","(De Facto) Policy Lever (Teaching) - Support","2.845374"
"SE.PRM.TSUP.DJ","(De Jure) Policy Lever (Teaching) - Support","5"
