Series,Indicator Name,Source,Source Organization,Source Note,value
SE.PRM.LCAP.1.U,(De Facto) Average developmental score for 1st Graders - Urban,Global Education Policy Dashboard,World Bank,NA,79.59631
SE.PRM.LCAP.2,(De Facto) Average numeracy score for 1st Graders,Global Education Policy Dashboard,World Bank,NA,89.81334
SE.PRM.LCAP.2.F,(De Facto) Average numeracy score for 1st Graders - Female,Global Education Policy Dashboard,World Bank,NA,90.7304
SE.PRM.LCAP.2.M,(De Facto) Average numeracy score for 1st Graders - Male,Global Education Policy Dashboard,World Bank,NA,89.81563
SE.PRM.LCAP.2.R,(De Facto) Average numeracy score for 1st Graders - Rural,Global Education Policy Dashboard,World Bank,NA,79.79147
SE.PRM.LCAP.2.U,(De Facto) Average numeracy score for 1st Graders - Urban,Global Education Policy Dashboard,World Bank,NA,92.14393
SE.PRM.LCAP.3,(De Facto) Average literacy score for 1st Graders,Global Education Policy Dashboard,World Bank,NA,76.76369
SE.PRM.LCAP.3.F,(De Facto) Average literacy score for 1st Graders - Female,Global Education Policy Dashboard,World Bank,NA,77.18598
SE.PRM.LCAP.3.M,(De Facto) Average literacy score for 1st Graders - Male,Global Education Policy Dashboard,World Bank,NA,76.71728
SE.PRM.LCAP.3.R,(De Facto) Average literacy score for 1st Graders - Rural,Global Education Policy Dashboard,World Bank,NA,61.0336
SE.PRM.LCAP.3.U,(De Facto) Average literacy score for 1st Graders - Urban,Global Education Policy Dashboard,World Bank,NA,80.42173
SE.PRM.LCAP.4,(De Facto) Average executive funcion score for 1st Graders,Global Education Policy Dashboard,World Bank,NA,64.55993
SE.PRM.LCAP.4.F,(De Facto) Average executive funcion score for 1st Graders - Female,Global Education Policy Dashboard,World Bank,NA,66.11621
SE.PRM.LCAP.4.M,(De Facto) Average executive funcion score for 1st Graders - Male,Global Education Policy Dashboard,World Bank,NA,63.25945
SE.PRM.LCAP.4.R,(De Facto) Average executive funcion score for 1st Graders - Rural,Global Education Policy Dashboard,World Bank,NA,50.72757
SE.PRM.LCAP.4.U,(De Facto) Average executive funcion score for 1st Graders - Urban,Global Education Policy Dashboard,World Bank,NA,67.77665
SE.PRM.LCAP.5,(De Facto) Average socioemotional score for 1st Graders,Global Education Policy Dashboard,World Bank,NA,74.91156
SE.PRM.LCAP.5.F,(De Facto) Average socioemotional score for 1st Graders - Female,Global Education Policy Dashboard,World Bank,NA,76.58219
SE.PRM.LCAP.5.M,(De Facto) Average socioemotional score for 1st Graders - Male,Global Education Policy Dashboard,World Bank,NA,72.26513
SE.PRM.LCAP.5.R,(De Facto) Average socioemotional score for 1st Graders - Rural,Global Education Policy Dashboard,World Bank,NA,61.44612
SE.PRM.LCAP.5.U,(De Facto) Average socioemotional score for 1st Graders - Urban,Global Education Policy Dashboard,World Bank,NA,78.04295
SE.PRM.LCBC,Policy Lever (Learners) - Center-Based Care,Global Education Policy Dashboard,World Bank,Policy Survey.,2.62
SE.PRM.LCBC.1,(De Jure) Is there a policy that guarantees free education for some or all grades and ages included in pre-primary education (for children age 0-83 months)?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LCBC.2,(De Facto) Percent of children age 36-59 months who are attending an early childhood education programme,Global Education Policy Dashboard,World Bank,NA,40.5
SE.PRM.LCBC.3,(De Jure) Are there developmental standards established for early childhood care and education?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LCBC.4,"(De Jure) According to laws and regulations, are there requirement to become an early childhood educator, pre-primary teacher?",Global Education Policy Dashboard,World Bank,NA,3
SE.PRM.LCBC.5,"(De Jure) According to policy, are ECCE professionals working at public or private centers required to complete in-service training in ECCE service delivery?",Global Education Policy Dashboard,World Bank,NA,0
SE.PRM.LCBC.DF,(De Facto) Policy Lever (Learners) - Center-Based Care,Global Education Policy Dashboard,World Bank,NA,2.62
SE.PRM.LCBC.DJ,(De Jure) Policy Lever (Learners) - Center-Based Care,Global Education Policy Dashboard,World Bank,NA,4
SE.PRM.LERN,Proficiency on GEPD Assessment,Global Education Policy Dashboard,World Bank,The fraction of students scoring at least 20/24 points on 4th grade language and 14/17 points on the math student assessment.  Our team consulted several content experts to advise on how many of our math and language items a minimally proficient 4th grade student should be able to get correct to decide these thresholds.,32.57077
SE.PRM.LERN.1,(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey,Global Education Policy Dashboard,World Bank,NA,32.57077
SE.PRM.LERN.1.F,(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female,Global Education Policy Dashboard,World Bank,NA,31.42943
SE.PRM.LERN.1.M,(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male,Global Education Policy Dashboard,World Bank,NA,33.10696
SE.PRM.LERN.1.R,(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural,Global Education Policy Dashboard,World Bank,NA,13.72373
SE.PRM.LERN.1.U,(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban,Global Education Policy Dashboard,World Bank,NA,37.00466
SE.PRM.LERN.2,(De Facto) Percent of children proficient in literacy according to GEPD School Survey,Global Education Policy Dashboard,World Bank,NA,60.74463
SE.PRM.LERN.2.F,(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female,Global Education Policy Dashboard,World Bank,NA,63.66946
SE.PRM.LERN.2.M,(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male,Global Education Policy Dashboard,World Bank,NA,58.35082
SE.PRM.LERN.2.R,(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural,Global Education Policy Dashboard,World Bank,NA,41.58589
SE.PRM.LERN.2.U,(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban,Global Education Policy Dashboard,World Bank,NA,65.25184
SE.PRM.LERN.3,(De Facto) Percent of children proficient in numeracy according to GEPD School Survey,Global Education Policy Dashboard,World Bank,NA,22.86767
SE.PRM.LERN.3.F,(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female,Global Education Policy Dashboard,World Bank,NA,20.76046
SE.PRM.LERN.3.M,(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male,Global Education Policy Dashboard,World Bank,NA,24.12229
SE.PRM.LERN.3.R,(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural,Global Education Policy Dashboard,World Bank,NA,9.65425
SE.PRM.LERN.3.U,(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban,Global Education Policy Dashboard,World Bank,NA,25.97621
SE.PRM.LFCP,Policy Lever (Learners) - Caregiver Capacity – Financial Capacity,Global Education Policy Dashboard,World Bank,NA,4.532
SE.PRM.LFCP.1,(De Jure) Are anti poverty interventions that focus on ECD publicly supported?,Global Education Policy Dashboard,World Bank,NA,2
SE.PRM.LFCP.2,(De Jure) Are cash transfers conditional on ECD services/enrollment publicly supported?,Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.LFCP.3,(De Jure) Are cash transfers focused partially on ECD publicly supported?,Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.LFCP.4,(De Facto) Coverage of social protection programs,Global Education Policy Dashboard,World Bank,NA,88.3
SE.PRM.LFCP.DF,(De Facto) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity,Global Education Policy Dashboard,World Bank,NA,4.532
SE.PRM.LFCP.DJ,(De Jure) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.LHTH,Policy Lever (Learners) - Health,Global Education Policy Dashboard,World Bank,Policy Survey.,4.154
SE.PRM.LHTH.1,(De Jure) Are young children required to receive a complete course of childhood immunizations?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LHTH.2,(De Facto) Percent of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Global Education Policy Dashboard,World Bank,NA,83
SE.PRM.LHTH.3,(De Jure) Is there a policy that assures access to healthcare for young children? Either by offering these services free or by subsidizing them,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LHTH.4,(De Facto) Percent of  children under 5 covered by health insurance,Global Education Policy Dashboard,World Bank,NA,86.5
SE.PRM.LHTH.5,(De Jure) Are deworming pills funded and distributed by the government?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LHTH.6,(De Facto) Percent of children age 6-59 months who received deworming medication,Global Education Policy Dashboard,World Bank,NA,54.9
SE.PRM.LHTH.7,(De Jure) Is there a policy that guarantees pregnant women free antenatal visits and skilled delivery?,Global Education Policy Dashboard,World Bank,NA,2
SE.PRM.LHTH.8,(De Facto) Percent of women age 15-49 years with a live birth in the last 2 years whose most recent live birth was delivered in a health facility,Global Education Policy Dashboard,World Bank,NA,91
SE.PRM.LHTH.DF,(De Facto) Policy Lever (Learners) - Health,Global Education Policy Dashboard,World Bank,NA,4.154
SE.PRM.LHTH.DJ,(De Jure) Policy Lever (Learners) - Health,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.LNTN,Policy Lever (Learners) - Nutrition Programs,Global Education Policy Dashboard,World Bank,Policy Survey.,4.293333
SE.PRM.LNTN.1,(De Jure) Does a national policy to encourage salt iodization exist?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LNTN.2,(De Facto) Percent of households with salt testing positive for any iodide among households,Global Education Policy Dashboard,World Bank,NA,94
SE.PRM.LNTN.3,"(De Jure) Does a national policy exist to encourage iron fortification of staples like wheat, maize, or rice?",Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LNTN.4,(De Facto) Percent of children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,Global Education Policy Dashboard,World Bank,NA,83
SE.PRM.LNTN.5,(De Jure) Does a national policy exist to encourage breastfeeding?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LNTN.6,(De Facto) Percent of children born in the five (three) years preceding the survey who were ever breastfed,Global Education Policy Dashboard,World Bank,NA,70
SE.PRM.LNTN.7,(De Jure) Is there a publicly funded school feeding program?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LNTN.8,(De Facto) Percent of schools reporting having publicly funded school feeding program,Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.LNTN.DF,(De Facto) Policy Lever (Learners) - Nutrition Programs,Global Education Policy Dashboard,World Bank,NA,4.293333
SE.PRM.LNTN.DJ,(De Jure) Policy Lever (Learners) - Nutrition Programs,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.LSKC,Policy Lever (Learners) - Caregiver Capacity – Skills Capacity,Global Education Policy Dashboard,World Bank,NA,2.8692
SE.PRM.LSKC.1,(De Jure) Does the government offer programs that aim to share good parenting practices with caregivers?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.LSKC.2,"(De Jure) Are any of the following publicly-supported delivery channels used to reach families in order to promote early childhood stimulation? Home visits, Group sessions, Community health programs, Health center waiting rooms, School-based groups, Mass media/Information campaigns",Global Education Policy Dashboard,World Bank,NA,2
SE.PRM.LSKC.3,(De Facto) Percent of children under age 5 who have three or more children’s books,Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.LSKC.4,(De Facto) Percent of children age 24-59 months engaged in four or more activities to provide early stimulation and responsive care in the last 3 days with any adult in the household,Global Education Policy Dashboard,World Bank,NA,46.73
SE.PRM.LSKC.DF,(De Facto) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity,Global Education Policy Dashboard,World Bank,NA,2.8692
SE.PRM.LSKC.DJ,(De Jure) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.OPMN,Operational Management,Global Education Policy Dashboard,World Bank,"School Survey.  Principals/head teachers are given two vignettes:   , One on solving the problem of a hypothetical leaky roof   - One on solving a problem of inadequate numbers of textbooks.    Each vignette is worth 2 points.      The indicator will measure two things: presence of functions and quality of functions. In each vignette:   - 0.5 points are awarded for someone specific having the responsibility to fix   - 0.5 point is awarded if the school can fully fund the repair, 0.25 points is awarded if the school must get partial help from the community, and 0 points are awarded if the full cost must be born by the community   - 1 point is awarded if the problem is fully resolved in a timely manner, with partial credit given if problem can only be partly resolved.",4.302251
SE.PRM.OPMN.1,(De Facto) Average score for the presence and quality of core operational management functions,Global Education Policy Dashboard,World Bank,NA,4.302251
SE.PRM.OPMN.1.F,(De Facto) Average score for the presence and quality of core operational management functions - Female,Global Education Policy Dashboard,World Bank,NA,4.254716
SE.PRM.OPMN.1.M,(De Facto) Average score for the presence and quality of core operational management functions - Male,Global Education Policy Dashboard,World Bank,NA,4.338363
SE.PRM.OPMN.1.R,(De Facto) Average score for the presence and quality of core operational management functions - Rural,Global Education Policy Dashboard,World Bank,NA,4.255402
SE.PRM.OPMN.1.U,(De Facto) Average score for the presence and quality of core operational management functions - Urban,Global Education Policy Dashboard,World Bank,NA,4.313273
SE.PRM.OPMN.2,(De Facto) Average score for infrastructure repair/maintenance,Global Education Policy Dashboard,World Bank,NA,4.195972
SE.PRM.OPMN.2.F,(De Facto) Average score for infrastructure repair/maintenance - Female,Global Education Policy Dashboard,World Bank,NA,4.116075
SE.PRM.OPMN.2.M,(De Facto) Average score for infrastructure repair/maintenance - Male,Global Education Policy Dashboard,World Bank,NA,4.256664
SE.PRM.OPMN.2.R,(De Facto) Average score for infrastructure repair/maintenance - Rural,Global Education Policy Dashboard,World Bank,NA,4.104808
SE.PRM.OPMN.2.U,(De Facto) Average score for infrastructure repair/maintenance - Urban,Global Education Policy Dashboard,World Bank,NA,4.217419
SE.PRM.OPMN.3,(De Facto) Average score for ensuring  availability of school inputs,Global Education Policy Dashboard,World Bank,NA,4.40853
SE.PRM.OPMN.3.F,(De Facto) Average score for ensuring  availability of school inputs - Female,Global Education Policy Dashboard,World Bank,NA,4.393357
SE.PRM.OPMN.3.M,(De Facto) Average score for ensuring  availability of school inputs - Male,Global Education Policy Dashboard,World Bank,NA,4.420062
SE.PRM.OPMN.3.R,(De Facto) Average score for ensuring  availability of school inputs - Rural,Global Education Policy Dashboard,World Bank,NA,4.405996
SE.PRM.OPMN.3.U,(De Facto) Average score for ensuring  availability of school inputs - Urban,Global Education Policy Dashboard,World Bank,NA,4.409126
SE.PRM.PEDG,Teacher Pedagogical Skills,Global Education Policy Dashboard,World Bank,School survey.  Based on TEACH ratings from classroom observations,33.76891
SE.PRM.PEDG.1,(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score),Global Education Policy Dashboard,World Bank,NA,33.76891
SE.PRM.PEDG.1.F,(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Female,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.1.M,(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Male,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.1.R,(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Rural,Global Education Policy Dashboard,World Bank,NA,21.51105
SE.PRM.PEDG.1.U,(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Urban,Global Education Policy Dashboard,World Bank,NA,36.25778
SE.PRM.PEDG.2,(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score),Global Education Policy Dashboard,World Bank,NA,91.41857
SE.PRM.PEDG.2.F,(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Female,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.2.M,(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Male,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.2.R,(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Rural,Global Education Policy Dashboard,World Bank,NA,91.20857
SE.PRM.PEDG.2.U,(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Urban,Global Education Policy Dashboard,World Bank,NA,91.4612
SE.PRM.PEDG.3,(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score),Global Education Policy Dashboard,World Bank,NA,38.6977
SE.PRM.PEDG.3.F,(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Female,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.3.M,(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Male,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.3.R,(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Rural,Global Education Policy Dashboard,World Bank,NA,25.47599
SE.PRM.PEDG.3.U,(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Urban,Global Education Policy Dashboard,World Bank,NA,41.40455
SE.PRM.PEDG.4,(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score),Global Education Policy Dashboard,World Bank,NA,23.84625
SE.PRM.PEDG.4.F,(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Female,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.4.M,(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Male,Global Education Policy Dashboard,World Bank,NA,NA
SE.PRM.PEDG.4.R,(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Rural,Global Education Policy Dashboard,World Bank,NA,7.728723
SE.PRM.PEDG.4.U,(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Urban,Global Education Policy Dashboard,World Bank,NA,0.2714596
SE.PRM.PKNW,Principal School Knowledge,Global Education Policy Dashboard,World Bank,NA,3.615178
SE.PRM.PKNW.1,(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school,Global Education Policy Dashboard,World Bank,NA,3.615178
SE.PRM.PKNW.1.F,(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Female,Global Education Policy Dashboard,World Bank,NA,3.770114
SE.PRM.PKNW.1.M,(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Male,Global Education Policy Dashboard,World Bank,NA,3.497342
SE.PRM.PKNW.1.R,(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Rural,Global Education Policy Dashboard,World Bank,NA,3.811761
SE.PRM.PKNW.1.U,(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Urban,Global Education Policy Dashboard,World Bank,NA,3.568931
SE.PRM.PKNW.2,(De Facto) Percent of principals familiar with teachers' content knowledge,Global Education Policy Dashboard,World Bank,NA,75.43827
SE.PRM.PKNW.2.F,(De Facto) Percent of principals familiar with teachers' content knowledge - Female,Global Education Policy Dashboard,World Bank,NA,76.46149
SE.PRM.PKNW.2.M,(De Facto) Percent of principals familiar with teachers' content knowledge - Male,Global Education Policy Dashboard,World Bank,NA,74.68514
SE.PRM.PKNW.2.R,(De Facto) Percent of principals familiar with teachers' content knowledge - Rural,Global Education Policy Dashboard,World Bank,NA,77.39334
SE.PRM.PKNW.2.U,(De Facto) Percent of principals familiar with teachers' content knowledge - Urban,Global Education Policy Dashboard,World Bank,NA,75.01621
SE.PRM.PKNW.3,(De Facto) Percent of principals familiar with teachers' experience,Global Education Policy Dashboard,World Bank,NA,99.24023
SE.PRM.PKNW.3.F,(De Facto) Percent of principals familiar with teachers' experience - Female,Global Education Policy Dashboard,World Bank,NA,98.44595
SE.PRM.PKNW.3.M,(De Facto) Percent of principals familiar with teachers' experience - Male,Global Education Policy Dashboard,World Bank,NA,99.84371
SE.PRM.PKNW.3.R,(De Facto) Percent of principals familiar with teachers' experience - Rural,Global Education Policy Dashboard,World Bank,NA,98.65006
SE.PRM.PKNW.3.U,(De Facto) Percent of principals familiar with teachers' experience - Urban,Global Education Policy Dashboard,World Bank,NA,99.37907
SE.PRM.PKNW.4,(De Facto) Percent of principals familiar with availability of classroom inputs,Global Education Policy Dashboard,World Bank,NA,81.42822
SE.PRM.PKNW.4.F,(De Facto) Percent of principals familiar with availability of classroom inputs - Female,Global Education Policy Dashboard,World Bank,NA,88.37186
SE.PRM.PKNW.4.M,(De Facto) Percent of principals familiar with availability of classroom inputs - Male,Global Education Policy Dashboard,World Bank,NA,76.29848
SE.PRM.PKNW.4.R,(De Facto) Percent of principals familiar with availability of classroom inputs - Rural,Global Education Policy Dashboard,World Bank,NA,85.88276
SE.PRM.PKNW.4.U,(De Facto) Percent of principals familiar with availability of classroom inputs - Urban,Global Education Policy Dashboard,World Bank,NA,80.36312
SE.PRM.PMAN,Principal Management Skills,Global Education Policy Dashboard,World Bank,"Score of 1,5 based on sum of following:   - 1 Point. School Goals Exists    - 1 Point. School goals are clear to school director, teachers, students, parents, and other members of community (partial credit available)   - 1 Point. Specific goals related to improving student achievement ( improving test scores, improving pass rates, reducing drop out, reducing absenteeism, improving pedagogy, more resources for infrastructure, more resources for inputs)    - 1 Point. School has defined system to measure goals (partial credit available)",4.275473
SE.PRM.PMAN.1,"(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term",Global Education Policy Dashboard,World Bank,NA,4.275473
SE.PRM.PMAN.1.F,"(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Female",Global Education Policy Dashboard,World Bank,NA,4.210488
SE.PRM.PMAN.1.M,"(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Male",Global Education Policy Dashboard,World Bank,NA,4.324819
SE.PRM.PMAN.1.R,"(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Rural",Global Education Policy Dashboard,World Bank,NA,4.193033
SE.PRM.PMAN.1.U,"(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Urban",Global Education Policy Dashboard,World Bank,NA,4.294867
SE.PRM.PMAN.2,(De Facto) Average score for the extent to which principals master problem-solving in the short-term,Global Education Policy Dashboard,World Bank,NA,4.644058
SE.PRM.PMAN.2.F,(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Female,Global Education Policy Dashboard,World Bank,NA,4.702776
SE.PRM.PMAN.2.M,(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Male,Global Education Policy Dashboard,World Bank,NA,4.599442
SE.PRM.PMAN.2.R,(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Rural,Global Education Policy Dashboard,World Bank,NA,4.498097
SE.PRM.PMAN.2.U,(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Urban,Global Education Policy Dashboard,World Bank,NA,4.678397
SE.PRM.PMAN.3,(De Facto) Average score for the extent to which principals master goal-setting in the long term,Global Education Policy Dashboard,World Bank,NA,3.906887
SE.PRM.PMAN.3.F,(De Facto) Average score for the extent to which principals master goal-setting in the long term - Female,Global Education Policy Dashboard,World Bank,NA,3.718201
SE.PRM.PMAN.3.M,(De Facto) Average score for the extent to which principals master goal-setting in the long term - Male,Global Education Policy Dashboard,World Bank,NA,4.050196
SE.PRM.PMAN.3.R,(De Facto) Average score for the extent to which principals master goal-setting in the long term - Rural,Global Education Policy Dashboard,World Bank,NA,3.887969
SE.PRM.PMAN.3.U,(De Facto) Average score for the extent to which principals master goal-setting in the long term - Urban,Global Education Policy Dashboard,World Bank,NA,3.911337
SE.PRM.PROE,Proficiency by Grade 2/3,Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.PROE.1,"(De Facto) Percent of children proficient in literacy and numeracy by grade 2/3, as reported by UIS",Global Education Policy Dashboard,World Bank,NA,-999
SE.PRM.SATT,Policy Lever (School Management) - Attraction,Global Education Policy Dashboard,World Bank,"This policy lever measures whether the right candidates are being attracted to the profession of school principals. The questions will aim to capture the provision of benefits to attract and maintain the best people to serve as principals.     Scoring:   , For now, score is between 1-5 based on how satisfied the principal is with status in community.  We will also add in component based on Principal salaries.",4.386436
SE.PRM.SATT.1,(De Jure) Do the national policies governing the education system portray the position of principal or head teacher as professionalized and distinct figure within schools?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SATT.2,(De Facto) Average principal salary as percent of GDP per capita,Global Education Policy Dashboard,World Bank,NA,1.941292
SE.PRM.SATT.3,(De Facto) Percent of principals reporting being satisfied or very satisfied with their social status in the community,Global Education Policy Dashboard,World Bank,NA,4.074248
SE.PRM.SATT.DF,(De Facto) Policy Lever (School Management) - Attraction,Global Education Policy Dashboard,World Bank,NA,4.386436
SE.PRM.SATT.DJ,(De Jure) Policy Lever (School Management) - Attraction,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.SCFN,Policy Lever (School Management) - Clarity of Functions,Global Education Policy Dashboard,World Bank,Policy Survey.,4.950065
SE.PRM.SCFN.1,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the maintenance and expansion of school infrastructure?,Global Education Policy Dashboard,World Bank,NA,95.2068
SE.PRM.SCFN.10,(De Jure) Do the policies governing schools assign the responsibility of student learning assessments?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.11,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal hiring and assignment?,Global Education Policy Dashboard,World Bank,NA,100
SE.PRM.SCFN.12,(De Jure) Do the policies governing schools assign the responsibility of principal hiring and assignment?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.13,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal supervision and training?,Global Education Policy Dashboard,World Bank,NA,100
SE.PRM.SCFN.14,(De Jure) Do the policies governing schools assign the responsibility of principal supervision and training?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.2,(De Jure) Do the policies governing schools assign the responsibility of maintenance and expansion of school infrastructure?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.3,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the procurement of materials?,Global Education Policy Dashboard,World Bank,NA,95.36237
SE.PRM.SCFN.4,(De Jure) Do the policies governing schools assign the responsibility of procurement of materials?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.5,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher hiring and assignment?,Global Education Policy Dashboard,World Bank,NA,100
SE.PRM.SCFN.6,(De Jure) Do the policies governing schools assign the responsibility of teacher hiring and assignment?,Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.7,"(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher supervision, training, and coaching?",Global Education Policy Dashboard,World Bank,NA,99.4439
SE.PRM.SCFN.8,"(De Jure) Do the policies governing schools assign the responsibility of teacher supervision, training, and coaching?",Global Education Policy Dashboard,World Bank,NA,1
SE.PRM.SCFN.9,(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of student learning assessments?,Global Education Policy Dashboard,World Bank,NA,100
SE.PRM.SCFN.DF,(De Facto) Policy Lever (School Management) - Clarity of Functions,Global Education Policy Dashboard,World Bank,NA,4.950065
SE.PRM.SCFN.DJ,(De Jure) Policy Lever (School Management) - Clarity of Functions,Global Education Policy Dashboard,World Bank,NA,5
SE.PRM.SEVL,Policy Lever (School Management) - Evaluation,Global Education Policy Dashboard,World Bank,"School Survey. This policy lever measures the extent to which principal performance is being monitored and enforced via accountability measures. The idea is that the indicator will be based on: 1) there is a legislation outlining the need to monitor, 2) principals are being evaluated, 3) principals are being evaluated on multiple things, and 4) there the accountability mechanisms in place. Score is the sum of the following:   , 1 Point. Was principal formally evaluated in past school year?   - 1 Point. Evaluation based on multiple components. Partial Credit available. 1/3 point for just one component, 2/3 points for 2-5 components, 1 point for more than 5 components.    - 1 Point.  Consequences exist if principal receives 2 or more negative evaluations   - 1 Point. Rewards exist if principal receives 2 or more positive evaluations",4.361993
